,id,Time,Tweet
211,1421001619,2023-02-14 14:48:18+00:00,"b'oi deus sou eu dnv, nao me deixa ter pegado dengue n eu te imploro'"
215,1245833837420085249,2023-02-14 14:47:34+00:00,"b'@ClauFigueroa0 No me flecha cupido , pero si el mosquito transmisor del dengue '"
216,159904397,2023-02-14 14:47:26+00:00,"b'RT @mariogaloppo: Confirma @_SantaFeCapital un caso sospechoso de dengue en la ciudad. ""Falta la confirmacion de laboratorio pero empezarem...'"
219,1524099188107411456,2023-02-14 14:46:27+00:00,b'@agnyanii Dengue e na?'
221,14640460,2023-02-14 14:45:50+00:00,b'Pesquisadores identificam dois virus que amplificam transmissao da dengue e da zika https://t.co/MzBO1sAwuH'
222,201841968,2023-02-14 14:45:34+00:00,"b' Habria descenso de casos de #Chikungunya recien ""en la primera quincena de marzo""\n\n ""Muchos estan inmunizados co... https://t.co/QVVU8DwAkh'"
223,1476825953250824209,2023-02-14 14:45:11+00:00,b'pleno 2023 e eu com suspeita de dengue'
224,749680169028288512,2023-02-14 14:45:09+00:00,"b'RT @MARIANONIN1: Dengue, chukungunya, accidentes y feminicidios...\nEs lo que hay'"
227,1594710981397336064,2023-02-14 14:44:18+00:00,b'RT @RakeshR60571145: Embed pariyojna k tahat dengue aur maleriya k bare me jankari dete hueby Bccf Nirmala rajput slum- meerpur kamela kanp...'
231,113046536,2023-02-14 14:41:20+00:00,"b'RT @DrGrimaldesJ: https://t.co/f0uH9zczyW\n Endothelial dysfunction, HMGB1 and dengue\n\n - HMGB1 during the early response of the endothelium...'"
232,166395732,2023-02-14 14:40:35+00:00,b'#AnuloDengue  Avanza la campana de erradicacion y fumigacion del dengue en #LaPlata   https://t.co/YhFhiIIVLo'
233,2319468098,2023-02-14 14:40:13+00:00,b'#Santa #Cruz: #Fallecen dos #bebes con #sintomas de #dengue  https://t.co/dnVs1XdqkZ https://t.co/AYzVO0F7Kz'
234,188837633,2023-02-14 14:39:57+00:00,b'RT @EugeniaBahitOK: @jdazagb @OficialEdesur Aja. Y el agua del grifo a 34 conserva los alimentos y controla al mosquito del dengue en un a...'
236,1686033836,2023-02-14 14:38:52+00:00,b'No se ha reportado la existencia de este mosquito en zonas vallunas del Departamento.\nhttps://t.co/bjtVUgdHq0'
237,921452802316161024,2023-02-14 14:38:22+00:00,"b'En Caiman: Se realizo charla sobre seguridad vial, dengue y Covid-19. Entrega de elementos sanitizacion y chalecos,... https://t.co/pnxZCaV6JV'"
238,394563222,2023-02-14 14:38:03+00:00,"b'  Gustavo Dacal, a su llegada a A Coruna: ""Estuve cerca de morir. Ahora queda otro trayecto igual o mas duro""... https://t.co/jINoTdAp0X'"
239,155395592,2023-02-14 14:37:51+00:00,"b'O programa Saude na Escola envolve temas como saude bucal, alimentacao saudavel, vacinacao, prevencao a infeccoes s... https://t.co/nvkUwNbaBl'"
240,1532913476666277888,2023-02-14 14:37:22+00:00,"b'To com dengue, mas tenho que esperar ate quinta pq so quinta que vai aparecer no exame'"
242,44126150,2023-02-14 14:37:05+00:00,b'Dengue: hay un caso probable en el norte de la ciudad de Santa Fe https://t.co/9vfviIbo5Z'
244,1966396326,2023-02-14 14:36:41+00:00,b'Sedes reporta que en Yacuiba se disparo los casos de dengue en una sola semana https://t.co/3mlIoXyC6h'
248,1393473638469410821,2023-02-14 14:34:38+00:00,"b'@Blood_UchihaIz Porque todos la andan pasando con alguien y yo estoy enfermo en mi cama, con fiebre y dengue.'"
249,714076772208406529,2023-02-14 14:33:59+00:00,"b'Gripe, Dengue e menstruacao ao mesmo tempo. \nA dor que eu to sentindo esses dias nao e normal '"
250,3075780389,2023-02-14 14:33:58+00:00,b'Esta jornada tambien sirvio para desarrollar con los estudiantes de la escuela la campana educativa sobre las medid... https://t.co/MK2EOp6GrB'
251,162890497,2023-02-14 14:33:35+00:00,"b'Vi como me picaba un Aedes Aeghyptis.\nDengue, te veo venir...\nLos quise. https://t.co/0UUIQdB2do'"
252,878472606244102144,2023-02-14 14:32:28+00:00,"b'E oficial, peguei dengue na semana do carnaval '"
253,1245833837420085249,2023-02-14 14:32:19+00:00,b'14 de febrero y yo con dengue... jajaja a mi nomas me pasan estas cosas lpm'
254,717410451198357505,2023-02-14 14:32:05+00:00,b'Eliminemos todos los criaderos de mosquitos.   \n.\nSegui estas recomendaciones para prevenir el Dengue y Chikungun... https://t.co/u8r3BaBzqF'
255,1452837374,2023-02-14 14:31:13+00:00,b'#ATENCION  Confirmaron un caso de dengue en la ciudad de #SantaFe.\n\nSe trata de un hombre de 42 anos que tiene ant... https://t.co/xN92Dsb5Mi'
256,580972566,2023-02-14 14:30:22+00:00,b'Sedes reporta que en Yacuiba se disparo los casos de dengue en una sola semana https://t.co/AIPW3oWE0H'
257,755055076515909632,2023-02-14 14:30:02+00:00,"b'Salud reporta 6.453 casos de dengue, Santa Cruz concentra el 75% https://t.co/YJnZFuZmEm https://t.co/OkL47pbxeL'"
258,1041790621730656258,2023-02-14 14:30:00+00:00,"b'La pequena tuvo tres dias de temperatura alta, pese a la insistencia de sus padres para internarla, aseguran que le... https://t.co/1je0eivNd1'"
260,999658469438443520,2023-02-14 14:29:42+00:00,"b'Santa Cruz: El #dengue colapsa el Hospital de Ninos, atienden a 19 menores en bancas y pasillos \nNoticias y Datos d... https://t.co/PLoE62QXAu'"
261,810881251762642944,2023-02-14 14:29:17+00:00,"b'sdds 1 semana atras quando eu me gabava por nunca ter pego zika, dengue ou chikungunya '"
262,356640790,2023-02-14 14:28:36+00:00,"b'RT @Gobierno_Tab: Sigue las recomendaciones de la Secretaria de Salud Tabasco y cierrale la puerta al #Dengue. No bajes la guardia, checa...'"
263,709649873721806848,2023-02-14 14:28:18+00:00,b'@GHMCOnline @AMBERPETDC1 @BaiAmoh @amoh16_amberpet The piled garbage was cleaned but it piled up again. The people... https://t.co/JQ0DDB6XSy'
264,1251746584309772291,2023-02-14 14:27:01+00:00,b'San Valentin con dengue '
265,580419337,2023-02-14 14:26:50+00:00,"b'Santa Cruz: El #dengue colapsa el Hospital de Ninos, atienden a 19 menores en bancas y pasillos \nNoticias y Datos d... https://t.co/Q7N19KRRdy'"
266,277526714,2023-02-14 14:25:40+00:00,b'Eliminemos todos los criaderos de mosquitos.   \n\nSegui estas recomendaciones para prevenir el Dengue y Chikunguny... https://t.co/K1C7G8iqr4'
268,1502410745853714438,2023-02-14 14:24:40+00:00,"b'@stunningangelss Cuidado,pode ser dengue\nDoutor ronaldo aconselha-te a fazer o teste'"
269,1599568019906301952,2023-02-14 14:24:39+00:00,"b'tengo dengue y estoy re tiesa, pero esto hace que sea dl mejor dia https://t.co/dRrk93z8LM'"
271,913616588871540736,2023-02-14 14:24:06+00:00,"b'RT @ejutv: #SantaCruz Hospital de ninos saturado por ninos con dengue, padres en salas de terapia intermedia esperan que menores se recuper...'"
272,370255339,2023-02-14 14:23:48+00:00,"b'Explosivos, enf venereas, Leishmania, malaria y dengue, atendiamos a las familias de los soldado que venian de muy... https://t.co/lkblKZar3A'"
274,329358895,2023-02-14 14:23:25+00:00,b'O ego do macho hetero e algo a ser banido... Como covid 19 e dengue.'
276,28764661,2023-02-14 14:22:53+00:00,"b'#SantaCruz Hospital de ninos saturado por ninos con dengue, padres en salas de terapia intermedia esperan que menor... https://t.co/PmhThNJFE7'"
277,209279715,2023-02-14 14:22:28+00:00,"b' #ANF | #Sociedad Dos bebes mueren con sintomas de dengue en Santa Cruz, los padres peregrinaron por atencion\nLea... https://t.co/FR5q1oZraN'"
